session_id,user_id,session_started_at,session_ended_at,traffic_source,device_type,country,city
22,7,2025-11-26 16:13:12,2025-11-26 16:16:12,yandex,mobile,Kazakhstan,Almaty
23,7,2026-02-03 14:13:12,2026-02-03 14:55:12,direct,mobile,Kazakhstan,Almaty
24,7,2025-11-27 13:13:12,2025-11-27 13:15:12,direct,mobile,Kazakhstan,Almaty
25,8,2026-02-02 07:24:57,2026-02-02 07:39:57,email,desktop,Kazakhstan,Saint Petersburg
26,8,2026-01-24 17:24:57,2026-01-24 17:57:57,google,desktop,Kazakhstan,Saint Petersburg
27,8,2026-01-13 02:24:57,2026-01-13 02:43:57,google,desktop,Kazakhstan,Saint Petersburg
28,8,2025-12-30 11:24:57,2025-12-30 11:59:57,vk,desktop,Kazakhstan,Saint Petersburg
29,8,2026-03-24 15:24:57,2026-03-24 15:55:57,direct,desktop,Kazakhstan,Saint Petersburg
30,8,2026-01-04 22:24:57,2026-01-04 22:32:57,email,desktop,Kazakhstan,Saint Petersburg
31,8,2026-01-12 00:24:57,2026-01-12 00:51:57,google,desktop,Kazakhstan,Saint Petersburg
32,9,2025-10-08 02:18:43,2025-10-08 02:28:43,yandex,tablet,Russia,Saint Petersburg
33,10,2025-03-06 09:42:54,2025-03-06 10:09:54,direct,desktop,Russia,Saint Petersburg
34,10,2025-03-14 09:42:54,2025-03-14 10:12:54,telegram,desktop,Russia,Saint Petersburg
35,10,2025-03-02 01:42:54,2025-03-02 01:56:54,yandex,desktop,Russia,Saint Petersburg
36,10,2025-04-16 02:42:54,2025-04-16 02:53:54,google,desktop,Russia,Saint Petersburg
37,10,2025-02-22 13:42:54,2025-02-22 14:13:54,telegram,desktop,Russia,Saint Petersburg
38,11,2025-03-20 21:02:45,2025-03-20 21:26:45,yandex,tablet,Kazakhstan,Kazan
39,11,2025-05-01 13:02:45,2025-05-01 13:33:45,telegram,tablet,Kazakhstan,Kazan
40,11,2025-03-20 06:02:45,2025-03-20 06:14:45,direct,tablet,Kazakhstan,Kazan
41,11,2025-04-13 02:02:45,2025-04-13 02:42:45,google,tablet,Kazakhstan,Kazan
42,11,2025-04-01 14:02:45,2025-04-01 14:13:45,google,tablet,Kazakhstan,Kazan
43,11,2025-04-05 15:02:45,2025-04-05 15:29:45,email,tablet,Kazakhstan,Kazan
44,11,2025-03-12 01:02:45,2025-03-12 01:23:45,telegram,tablet,Kazakhstan,Kazan
45,12,2025-08-29 01:30:44,2025-08-29 02:00:44,email,tablet,Belarus,Moscow
46,12,2025-11-03 20:30:44,2025-11-03 20:38:44,vk,tablet,Belarus,Moscow
47,12,2025-09-07 17:30:44,2025-09-07 17:39:44,google,tablet,Belarus,Moscow
48,13,2025-07-27 16:34:38,2025-07-27 16:48:38,vk,mobile,Kazakhstan,Kazan
49,14,2026-02-20 03:56:57,2026-02-20 04:39:57,google,desktop,Russia,Moscow
50,14,2026-02-07 01:56:57,2026-02-07 02:14:57,google,desktop,Russia,Moscow
51,14,2025-11-26 09:56:57,2025-11-26 10:10:57,direct,desktop,Russia,Moscow
52,14,2026-01-19 11:56:57,2026-01-19 12:03:57,telegram,desktop,Russia,Moscow
53,14,2025-12-09 08:56:57,2025-12-09 09:27:57,google,desktop,Russia,Moscow
54,14,2025-12-16 01:56:57,2025-12-16 02:25:57,direct,desktop,Russia,Moscow
55,15,2025-03-30 16:55:21,2025-03-30 17:21:21,direct,mobile,Russia,Almaty
56,15,2025-03-21 21:55:21,2025-03-21 22:19:21,yandex,mobile,Russia,Almaty
57,15,2025-02-19 00:55:21,2025-02-19 01:14:21,vk,mobile,Russia,Almaty
58,15,2025-02-14 17:55:21,2025-02-14 18:36:21,email,mobile,Russia,Almaty
59,15,2025-04-14 23:55:21,2025-04-15 00:38:21,telegram,mobile,Russia,Almaty
60,15,2025-03-31 05:55:21,2025-03-31 06:32:21,vk,mobile,Russia,Almaty
61,15,2025-02-02 18:55:21,2025-02-02 19:14:21,vk,mobile,Russia,Almaty
62,16,2025-07-26 21:33:23,2025-07-26 22:16:23,email,desktop,Belarus,Minsk
63,16,2025-07-05 11:33:23,2025-07-05 12:09:23,google,desktop,Belarus,Minsk
64,16,2025-07-22 13:33:23,2025-07-22 13:57:23,vk,desktop,Belarus,Minsk
65,17,2025-12-01 01:48:02,2025-12-01 02:22:02,telegram,tablet,Belarus,Almaty
66,17,2025-12-05 15:48:02,2025-12-05 16:01:02,google,tablet,Belarus,Almaty
67,17,2025-11-27 02:48:02,2025-11-27 03:04:02,google,tablet,Belarus,Almaty
68,17,2025-11-21 08:48:02,2025-11-21 09:20:02,email,tablet,Belarus,Almaty
69,17,2025-12-02 01:48:02,2025-12-02 02:04:02,yandex,tablet,Belarus,Almaty
70,17,2025-10-29 14:48:02,2025-10-29 15:32:02,yandex,tablet,Belarus,Almaty
71,17,2025-11-21 00:48:02,2025-11-21 00:53:02,yandex,tablet,Belarus,Almaty
72,17,2025-12-29 19:48:02,2025-12-29 20:12:02,yandex,tablet,Belarus,Almaty
73,18,2026-01-15 10:18:56,2026-01-15 10:40:56,direct,mobile,Belarus,Minsk
74,18,2026-03-15 03:18:56,2026-03-15 03:57:56,google,mobile,Belarus,Minsk
75,18,2026-03-16 14:18:56,2026-03-16 14:42:56,email,mobile,Belarus,Minsk
76,19,2025-04-18 13:20:13,2025-04-18 13:53:13,email,tablet,Russia,Saint Petersburg
77,19,2025-03-16 12:20:13,2025-03-16 12:53:13,google,tablet,Russia,Saint Petersburg
78,19,2025-02-16 08:20:13,2025-02-16 08:36:13,email,tablet,Russia,Saint Petersburg
79,20,2025-08-23 06:56:06,2025-08-23 07:28:06,google,tablet,Russia,Minsk
80,20,2025-10-02 09:56:06,2025-10-02 10:10:06,yandex,tablet,Russia,Minsk
81,20,2025-10-03 12:56:06,2025-10-03 13:09:06,telegram,tablet,Russia,Minsk
82,20,2025-08-27 14:56:06,2025-08-27 15:07:06,email,tablet,Russia,Minsk
83,21,2025-08-18 12:26:20,2025-08-18 12:51:20,google,desktop,Russia,Saint Petersburg
84,21,2025-09-20 18:26:20,2025-09-20 19:10:20,vk,desktop,Russia,Saint Petersburg
85,21,2025-10-17 23:26:20,2025-10-17 23:49:20,telegram,desktop,Russia,Saint Petersburg
86,22,2025-03-02 12:44:29,2025-03-02 13:13:29,direct,desktop,Kazakhstan,Minsk
87,22,2025-04-17 03:44:29,2025-04-17 04:06:29,yandex,desktop,Kazakhstan,Minsk
88,22,2025-05-15 00:44:29,2025-05-15 01:25:29,telegram,desktop,Kazakhstan,Minsk
89,22,2025-03-14 04:44:29,2025-03-14 05:23:29,yandex,desktop,Kazakhstan,Minsk
90,22,2025-04-02 16:44:29,2025-04-02 17:04:29,yandex,desktop,Kazakhstan,Minsk
91,22,2025-03-08 06:44:29,2025-03-08 06:46:29,direct,desktop,Kazakhstan,Minsk
92,23,2025-09-24 10:48:02,2025-09-24 11:01:02,email,tablet,Russia,Almaty
93,23,2025-08-24 04:48:02,2025-08-24 05:04:02,direct,tablet,Russia,Almaty
94,23,2025-09-24 12:48:02,2025-09-24 13:21:02,yandex,tablet,Russia,Almaty
95,23,2025-08-26 08:48:02,2025-08-26 08:54:02,yandex,tablet,Russia,Almaty
96,23,2025-08-27 19:48:02,2025-08-27 20:00:02,direct,tablet,Russia,Almaty
97,23,2025-07-26 07:48:02,2025-07-26 08:32:02,direct,tablet,Russia,Almaty
98,23,2025-08-25 23:48:02,2025-08-25 23:50:02,telegram,tablet,Russia,Almaty
99,24,2025-04-02 06:33:54,2025-04-02 06:39:54,telegram,tablet,Kazakhstan,Moscow
100,24,2025-04-02 11:33:54,2025-04-02 11:35:54,google,tablet,Kazakhstan,Moscow
101,24,2025-04-19 22:33:54,2025-04-19 23:01:54,yandex,tablet,Kazakhstan,Moscow
102,24,2025-04-22 23:33:54,2025-04-22 23:59:54,telegram,tablet,Kazakhstan,Moscow
103,25,2025-07-22 09:08:07,2025-07-22 09:46:07,direct,desktop,Russia,Saint Petersburg
104,25,2025-10-05 01:08:07,2025-10-05 01:20:07,vk,desktop,Russia,Saint Petersburg
105,25,2025-07-18 19:08:07,2025-07-18 19:28:07,google,desktop,Russia,Saint Petersburg
106,25,2025-08-19 02:08:07,2025-08-19 02:16:07,google,desktop,Russia,Saint Petersburg
107,25,2025-08-21 23:08:07,2025-08-21 23:34:07,yandex,desktop,Russia,Saint Petersburg
108,25,2025-07-19 11:08:07,2025-07-19 11:15:07,telegram,desktop,Russia,Saint Petersburg
109,25,2025-09-24 13:08:07,2025-09-24 13:40:07,direct,desktop,Russia,Saint Petersburg
110,26,2025-05-30 09:05:09,2025-05-30 09:17:09,email,tablet,Belarus,Saint Petersburg
111,27,2025-11-12 10:19:33,2025-11-12 10:27:33,telegram,tablet,Belarus,Moscow
112,27,2025-11-18 15:19:33,2025-11-18 15:47:33,direct,tablet,Belarus,Moscow
113,27,2026-01-02 08:19:33,2026-01-02 08:55:33,telegram,tablet,Belarus,Moscow
114,27,2026-01-15 18:19:33,2026-01-15 18:40:33,yandex,tablet,Belarus,Moscow
115,27,2025-11-04 10:19:33,2025-11-04 10:46:33,email,tablet,Belarus,Moscow
116,27,2026-01-02 00:19:33,2026-01-02 00:30:33,google,tablet,Belarus,Moscow
117,27,2025-12-08 09:19:33,2025-12-08 09:48:33,google,tablet,Belarus,Moscow
118,28,2025-07-07 18:30:24,2025-07-07 19:10:24,vk,mobile,Belarus,Almaty
119,28,2025-05-09 01:30:24,2025-05-09 01:33:24,yandex,mobile,Belarus,Almaty
120,28,2025-05-05 18:30:24,2025-05-05 18:50:24,google,mobile,Belarus,Almaty
121,28,2025-06-13 01:30:24,2025-06-13 01:51:24,vk,mobile,Belarus,Almaty
122,28,2025-06-13 13:30:24,2025-06-13 14:14:24,telegram,mobile,Belarus,Almaty
123,29,2025-12-26 14:09:57,2025-12-26 14:35:57,yandex,desktop,Kazakhstan,Minsk
124,29,2025-11-21 09:09:57,2025-11-21 09:34:57,yandex,desktop,Kazakhstan,Minsk
125,30,2025-02-22 07:50:27,2025-02-22 08:20:27,vk,desktop,Russia,Moscow
126,30,2025-03-22 06:50:27,2025-03-22 07:09:27,email,desktop,Russia,Moscow
127,30,2025-02-24 03:50:27,2025-02-24 04:34:27,google,desktop,Russia,Moscow
128,30,2025-02-27 20:50:27,2025-02-27 21:14:27,email,desktop,Russia,Moscow
129,30,2025-04-10 17:50:27,2025-04-10 18:06:27,email,desktop,Russia,Moscow
130,30,2025-02-24 11:50:27,2025-02-24 12:25:27,vk,desktop,Russia,Moscow
131,30,2025-04-26 20:50:27,2025-04-26 21:22:27,email,desktop,Russia,Moscow
132,30,2025-03-19 14:50:27,2025-03-19 15:11:27,google,desktop,Russia,Moscow
133,31,2025-08-22 04:39:33,2025-08-22 05:17:33,email,tablet,Russia,Saint Petersburg
134,31,2025-10-30 09:39:33,2025-10-30 10:20:33,yandex,tablet,Russia,Saint Petersburg
135,31,2025-09-02 02:39:33,2025-09-02 02:52:33,yandex,tablet,Russia,Saint Petersburg
136,31,2025-09-13 18:39:33,2025-09-13 18:49:33,google,tablet,Russia,Saint Petersburg
137,31,2025-10-10 14:39:33,2025-10-10 15:24:33,vk,tablet,Russia,Saint Petersburg
138,31,2025-09-12 08:39:33,2025-09-12 08:50:33,email,tablet,Russia,Saint Petersburg
139,31,2025-09-19 22:39:33,2025-09-19 22:45:33,google,tablet,Russia,Saint Petersburg
140,32,2025-06-10 09:53:31,2025-06-10 10:30:31,telegram,mobile,Russia,Saint Petersburg
141,32,2025-05-05 13:53:31,2025-05-05 14:24:31,google,mobile,Russia,Saint Petersburg
142,32,2025-06-28 16:53:31,2025-06-28 17:32:31,email,mobile,Russia,Saint Petersburg
143,32,2025-05-23 00:53:31,2025-05-23 01:21:31,yandex,mobile,Russia,Saint Petersburg
144,32,2025-04-18 15:53:31,2025-04-18 16:32:31,email,mobile,Russia,Saint Petersburg
145,32,2025-04-12 00:53:31,2025-04-12 01:31:31,google,mobile,Russia,Saint Petersburg
146,32,2025-05-06 14:53:31,2025-05-06 15:17:31,vk,mobile,Russia,Saint Petersburg
147,33,2025-06-07 23:35:46,2025-06-08 00:08:46,email,tablet,Belarus,Minsk
148,33,2025-07-05 18:35:46,2025-07-05 18:39:46,yandex,tablet,Belarus,Minsk
149,33,2025-05-24 15:35:46,2025-05-24 15:46:46,email,tablet,Belarus,Minsk
150,33,2025-07-06 00:35:46,2025-07-06 01:02:46,google,tablet,Belarus,Minsk
151,33,2025-06-08 13:35:46,2025-06-08 13:52:46,google,tablet,Belarus,Minsk
152,34,2025-05-09 19:53:54,2025-05-09 19:56:54,telegram,mobile,Kazakhstan,Minsk
153,34,2025-05-13 17:53:54,2025-05-13 18:12:54,vk,mobile,Kazakhstan,Minsk
154,34,2025-07-04 05:53:54,2025-07-04 06:01:54,yandex,mobile,Kazakhstan,Minsk
155,34,2025-04-22 17:53:54,2025-04-22 18:23:54,telegram,mobile,Kazakhstan,Minsk
156,34,2025-05-10 07:53:54,2025-05-10 08:21:54,email,mobile,Kazakhstan,Minsk
157,34,2025-06-26 10:53:54,2025-06-26 11:07:54,vk,mobile,Kazakhstan,Minsk
158,34,2025-05-02 21:53:54,2025-05-02 22:26:54,email,mobile,Kazakhstan,Minsk
159,34,2025-05-22 09:53:54,2025-05-22 10:27:54,yandex,mobile,Kazakhstan,Minsk
160,35,2025-06-27 12:17:33,2025-06-27 12:51:33,vk,tablet,Kazakhstan,Minsk
161,35,2025-06-05 06:17:33,2025-06-05 06:55:33,google,tablet,Kazakhstan,Minsk
162,36,2025-02-17 18:57:03,2025-02-17 19:02:03,yandex,mobile,Kazakhstan,Kazan
163,36,2025-01-29 02:57:03,2025-01-29 03:02:03,telegram,mobile,Kazakhstan,Kazan
164,36,2025-04-24 18:57:03,2025-04-24 19:16:03,telegram,mobile,Kazakhstan,Kazan
165,37,2025-09-30 18:32:43,2025-09-30 19:14:43,google,mobile,Kazakhstan,Moscow
166,37,2025-10-23 06:32:43,2025-10-23 06:49:43,telegram,mobile,Kazakhstan,Moscow
167,37,2025-09-29 01:32:43,2025-09-29 02:02:43,yandex,mobile,Kazakhstan,Moscow
168,37,2025-09-27 00:32:43,2025-09-27 01:09:43,telegram,mobile,Kazakhstan,Moscow
169,37,2025-09-10 11:32:43,2025-09-10 11:50:43,direct,mobile,Kazakhstan,Moscow
170,37,2025-10-24 08:32:43,2025-10-24 08:52:43,google,mobile,Kazakhstan,Moscow
171,37,2025-09-15 07:32:43,2025-09-15 07:44:43,email,mobile,Kazakhstan,Moscow
172,37,2025-08-24 13:32:43,2025-08-24 14:15:43,yandex,mobile,Kazakhstan,Moscow
173,38,2025-05-12 20:21:53,2025-05-12 20:49:53,email,mobile,Russia,Minsk
174,38,2025-04-10 21:21:53,2025-04-10 21:23:53,vk,mobile,Russia,Minsk
175,38,2025-04-24 20:21:53,2025-04-24 20:34:53,email,mobile,Russia,Minsk
176,38,2025-04-09 07:21:53,2025-04-09 07:39:53,email,mobile,Russia,Minsk
177,39,2025-05-08 01:16:19,2025-05-08 01:35:19,vk,desktop,Russia,Moscow
178,39,2025-03-26 16:16:19,2025-03-26 16:47:19,telegram,desktop,Russia,Moscow
179,39,2025-03-05 19:16:19,2025-03-05 19:37:19,direct,desktop,Russia,Moscow
180,39,2025-04-14 00:16:19,2025-04-14 00:43:19,email,desktop,Russia,Moscow
181,39,2025-02-19 05:16:19,2025-02-19 05:50:19,direct,desktop,Russia,Moscow
182,40,2026-02-12 15:07:32,2026-02-12 15:47:32,email,desktop,Kazakhstan,Saint Petersburg
183,40,2026-01-08 04:07:32,2026-01-08 04:52:32,google,desktop,Kazakhstan,Saint Petersburg
184,40,2026-02-01 21:07:32,2026-02-01 21:30:32,telegram,desktop,Kazakhstan,Saint Petersburg
185,40,2026-02-22 05:07:32,2026-02-22 05:26:32,telegram,desktop,Kazakhstan,Saint Petersburg
186,40,2026-02-24 17:07:32,2026-02-24 17:50:32,telegram,desktop,Kazakhstan,Saint Petersburg
187,40,2025-12-26 23:07:32,2025-12-26 23:42:32,yandex,desktop,Kazakhstan,Saint Petersburg
188,41,2025-06-29 11:52:17,2025-06-29 12:36:17,telegram,tablet,Kazakhstan,Kazan
189,42,2025-03-05 22:48:39,2025-03-05 23:21:39,telegram,mobile,Russia,Kazan
190,42,2025-04-04 15:48:39,2025-04-04 16:15:39,vk,mobile,Russia,Kazan
191,42,2025-03-06 20:48:39,2025-03-06 21:26:39,yandex,mobile,Russia,Kazan
192,43,2025-11-16 08:38:15,2025-11-16 09:14:15,direct,tablet,Kazakhstan,Saint Petersburg
193,43,2025-12-18 08:38:15,2025-12-18 09:02:15,email,tablet,Kazakhstan,Saint Petersburg
194,43,2025-11-25 16:38:15,2025-11-25 17:22:15,email,tablet,Kazakhstan,Saint Petersburg
195,43,2025-11-10 20:38:15,2025-11-10 20:46:15,vk,tablet,Kazakhstan,Saint Petersburg
196,43,2025-11-04 10:38:15,2025-11-04 10:56:15,direct,tablet,Kazakhstan,Saint Petersburg
197,43,2025-12-28 16:38:15,2025-12-28 17:23:15,telegram,tablet,Kazakhstan,Saint Petersburg
198,44,2025-02-20 13:09:21,2025-02-20 13:25:21,direct,mobile,Belarus,Saint Petersburg
199,44,2025-03-03 15:09:21,2025-03-03 15:32:21,telegram,mobile,Belarus,Saint Petersburg
200,45,2025-12-03 14:26:13,2025-12-03 14:57:13,google,tablet,Russia,Minsk
201,45,2025-11-19 06:26:13,2025-11-19 07:08:13,email,tablet,Russia,Minsk
202,45,2025-12-04 00:26:13,2025-12-04 00:32:13,vk,tablet,Russia,Minsk
203,45,2025-10-14 21:26:13,2025-10-14 21:35:13,direct,tablet,Russia,Minsk
204,45,2025-11-07 21:26:13,2025-11-07 21:47:13,vk,tablet,Russia,Minsk
205,46,2025-09-17 17:03:14,2025-09-17 17:17:14,telegram,tablet,Russia,Minsk
206,47,2026-03-12 14:05:37,2026-03-12 14:16:37,telegram,mobile,Kazakhstan,Moscow
207,47,2026-01-22 02:05:37,2026-01-22 02:38:37,telegram,mobile,Kazakhstan,Moscow
208,47,2026-03-20 05:05:37,2026-03-20 05:27:37,direct,mobile,Kazakhstan,Moscow
209,47,2026-01-06 00:05:37,2026-01-06 00:35:37,telegram,mobile,Kazakhstan,Moscow
210,47,2026-01-25 05:05:37,2026-01-25 05:43:37,yandex,mobile,Kazakhstan,Moscow
211,47,2026-03-02 02:05:37,2026-03-02 02:15:37,email,mobile,Kazakhstan,Moscow
212,47,2026-02-23 20:05:37,2026-02-23 20:34:37,vk,mobile,Kazakhstan,Moscow
213,48,2025-04-23 07:52:26,2025-04-23 07:54:26,google,desktop,Belarus,Kazan
214,48,2025-04-30 01:52:26,2025-04-30 02:17:26,google,desktop,Belarus,Kazan
215,48,2025-04-03 11:52:26,2025-04-03 12:06:26,google,desktop,Belarus,Kazan
216,48,2025-05-17 19:52:26,2025-05-17 20:34:26,direct,desktop,Belarus,Kazan
217,48,2025-03-24 02:52:26,2025-03-24 03:16:26,telegram,desktop,Belarus,Kazan
218,48,2025-03-08 22:52:26,2025-03-08 23:18:26,email,desktop,Belarus,Kazan
219,48,2025-05-07 04:52:26,2025-05-07 05:04:26,google,desktop,Belarus,Kazan
220,49,2025-08-05 08:31:50,2025-08-05 09:02:50,direct,mobile,Belarus,Almaty
221,50,2025-09-10 08:11:13,2025-09-10 08:21:13,telegram,mobile,Kazakhstan,Moscow
222,50,2025-09-16 22:11:13,2025-09-16 22:25:13,yandex,mobile,Kazakhstan,Moscow
223,50,2025-09-05 11:11:13,2025-09-05 11:27:13,yandex,mobile,Kazakhstan,Moscow
224,50,2025-08-01 17:11:13,2025-08-01 17:14:13,email,mobile,Kazakhstan,Moscow
225,50,2025-09-18 16:11:13,2025-09-18 16:20:13,telegram,mobile,Kazakhstan,Moscow
226,50,2025-10-07 12:11:13,2025-10-07 12:37:13,direct,mobile,Kazakhstan,Moscow
227,51,2025-06-29 11:16:30,2025-06-29 11:21:30,email,tablet,Russia,Minsk
228,51,2025-04-28 13:16:30,2025-04-28 13:24:30,direct,tablet,Russia,Minsk
229,51,2025-04-23 17:16:30,2025-04-23 17:25:30,vk,tablet,Russia,Minsk
230,51,2025-06-17 04:16:30,2025-06-17 04:25:30,email,tablet,Russia,Minsk
231,51,2025-05-24 07:16:30,2025-05-24 07:27:30,yandex,tablet,Russia,Minsk
232,52,2025-10-25 21:56:10,2025-10-25 22:40:10,google,mobile,Belarus,Kazan
233,53,2026-03-02 07:43:24,2026-03-02 07:53:24,vk,desktop,Russia,Almaty
234,53,2025-12-26 04:43:24,2025-12-26 05:24:24,google,desktop,Russia,Almaty
235,53,2026-01-17 15:43:24,2026-01-17 15:51:24,vk,desktop,Russia,Almaty
236,53,2026-01-07 07:43:24,2026-01-07 07:57:24,telegram,desktop,Russia,Almaty
237,53,2026-02-16 18:43:24,2026-02-16 19:07:24,direct,desktop,Russia,Almaty
238,54,2025-11-12 21:37:49,2025-11-12 21:41:49,email,tablet,Kazakhstan,Moscow
239,54,2025-12-08 22:37:49,2025-12-08 23:09:49,telegram,tablet,Kazakhstan,Moscow
240,54,2025-11-05 16:37:49,2025-11-05 16:39:49,direct,tablet,Kazakhstan,Moscow
241,54,2025-10-17 19:37:49,2025-10-17 20:15:49,direct,tablet,Kazakhstan,Moscow
242,54,2025-12-08 20:37:49,2025-12-08 20:44:49,email,tablet,Kazakhstan,Moscow
243,54,2025-10-16 15:37:49,2025-10-16 15:45:49,telegram,tablet,Kazakhstan,Moscow
244,54,2025-12-27 23:37:49,2025-12-28 00:08:49,telegram,tablet,Kazakhstan,Moscow
245,55,2026-02-15 15:20:51,2026-02-15 15:28:51,yandex,desktop,Russia,Saint Petersburg
246,55,2025-12-23 23:20:51,2025-12-23 23:45:51,direct,desktop,Russia,Saint Petersburg
247,55,2026-01-28 03:20:51,2026-01-28 03:29:51,google,desktop,Russia,Saint Petersburg
248,55,2025-12-23 14:20:51,2025-12-23 14:30:51,direct,desktop,Russia,Saint Petersburg
249,55,2026-03-10 19:20:51,2026-03-10 19:43:51,telegram,desktop,Russia,Saint Petersburg
250,56,2025-07-28 20:58:20,2025-07-28 21:05:20,telegram,tablet,Russia,Kazan
251,56,2025-06-22 17:58:20,2025-06-22 18:07:20,vk,tablet,Russia,Kazan
252,56,2025-07-01 02:58:20,2025-07-01 03:17:20,vk,tablet,Russia,Kazan
253,56,2025-08-07 03:58:20,2025-08-07 04:26:20,direct,tablet,Russia,Kazan
254,56,2025-05-31 15:58:20,2025-05-31 16:08:20,direct,tablet,Russia,Kazan
255,56,2025-05-17 17:58:20,2025-05-17 18:06:20,vk,tablet,Russia,Kazan
256,56,2025-07-25 03:58:20,2025-07-25 04:36:20,direct,tablet,Russia,Kazan
257,56,2025-07-05 17:58:20,2025-07-05 18:39:20,vk,tablet,Russia,Kazan
258,57,2025-10-23 20:01:51,2025-10-23 20:46:51,direct,tablet,Russia,Saint Petersburg
259,57,2025-08-23 11:01:51,2025-08-23 11:34:51,google,tablet,Russia,Saint Petersburg
260,57,2025-09-28 10:01:51,2025-09-28 10:05:51,google,tablet,Russia,Saint Petersburg
261,57,2025-09-09 16:01:51,2025-09-09 16:23:51,google,tablet,Russia,Saint Petersburg
262,57,2025-11-05 17:01:51,2025-11-05 17:36:51,direct,tablet,Russia,Saint Petersburg
263,57,2025-10-19 19:01:51,2025-10-19 19:39:51,yandex,tablet,Russia,Saint Petersburg
264,58,2026-01-26 18:59:21,2026-01-26 19:40:21,google,mobile,Kazakhstan,Almaty
265,58,2026-01-15 23:59:21,2026-01-16 00:16:21,vk,mobile,Kazakhstan,Almaty
266,58,2026-01-04 23:59:21,2026-01-05 00:44:21,direct,mobile,Kazakhstan,Almaty
267,58,2026-01-09 06:59:21,2026-01-09 07:36:21,email,mobile,Kazakhstan,Almaty
268,58,2025-11-27 02:59:21,2025-11-27 03:42:21,yandex,mobile,Kazakhstan,Almaty
269,58,2026-01-24 17:59:21,2026-01-24 18:32:21,yandex,mobile,Kazakhstan,Almaty
270,59,2025-03-20 15:52:23,2025-03-20 16:09:23,telegram,desktop,Kazakhstan,Kazan
271,59,2025-02-21 06:52:23,2025-02-21 07:26:23,yandex,desktop,Kazakhstan,Kazan
272,60,2025-11-07 07:16:11,2025-11-07 07:23:11,vk,desktop,Russia,Kazan
273,60,2025-11-12 18:16:11,2025-11-12 18:46:11,google,desktop,Russia,Kazan
274,60,2025-11-19 14:16:11,2025-11-19 14:38:11,google,desktop,Russia,Kazan
275,60,2025-11-19 23:16:11,2025-11-19 23:59:11,google,desktop,Russia,Kazan
276,60,2025-09-30 12:16:11,2025-09-30 12:44:11,google,desktop,Russia,Kazan
277,60,2025-11-27 17:16:11,2025-11-27 17:18:11,google,desktop,Russia,Kazan
278,60,2025-12-03 19:16:11,2025-12-03 19:58:11,telegram,desktop,Russia,Kazan
279,61,2026-03-20 09:44:39,2026-03-20 10:15:39,telegram,desktop,Russia,Moscow
280,61,2026-02-10 13:44:39,2026-02-10 14:00:39,vk,desktop,Russia,Moscow
281,61,2026-02-07 05:44:39,2026-02-07 06:25:39,email,desktop,Russia,Moscow
282,61,2026-02-25 10:44:39,2026-02-25 11:28:39,telegram,desktop,Russia,Moscow
283,62,2025-10-28 04:16:42,2025-10-28 05:00:42,yandex,desktop,Kazakhstan,Minsk
284,62,2025-10-14 11:16:42,2025-10-14 11:40:42,direct,desktop,Kazakhstan,Minsk
285,62,2025-11-20 18:16:42,2025-11-20 18:51:42,telegram,desktop,Kazakhstan,Minsk
286,62,2026-01-11 04:16:42,2026-01-11 04:20:42,yandex,desktop,Kazakhstan,Minsk
